number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.45491374242880633,2025-05-06 13:52:21.906912,2025-05-06 13:52:27.934153,0 days 00:00:06.027241,0.952376306284472,0.17656937659541827,3,158,5.923049552805745,1.1181683403912275e-08,0.831914608904967,COMPLETE
1,0.45206920967542175,2025-05-06 13:52:27.935804,2025-05-06 13:52:30.484548,0 days 00:00:02.548744,0.5257601548558233,0.15634721570174845,3,434,0.1057604143121134,0.0023863157422693323,0.9355655757568483,COMPLETE
2,0.435111358514888,2025-05-06 13:52:30.485843,2025-05-06 13:53:03.233734,0 days 00:00:32.747891,0.7637300354438312,0.00857177147959753,7,767,1.3325250920800993e-07,2.295616157084165e-06,0.9470036352806446,COMPLETE
3,0.45254502459572066,2025-05-06 13:53:03.235459,2025-05-06 13:53:06.927770,0 days 00:00:03.692311,0.9355704155030378,0.04764064585656964,4,240,3.3089021649184635e-08,0.0010590297520113425,0.6815310021457738,COMPLETE
4,0.4474556308884653,2025-05-06 13:53:06.928983,2025-05-06 13:54:55.048490,0 days 00:01:48.119507,0.7731850099863512,0.1336745993546362,11,776,0.011495934428879985,0.7157004302007386,0.8534572679389969,COMPLETE
5,0.446299419504071,2025-05-06 13:54:55.049834,2025-05-06 13:55:20.809037,0 days 00:00:25.759203,0.692647119518588,0.004671052674868298,6,958,2.0609155692740186e-06,1.891957656144236e-05,0.9238137368519468,COMPLETE
6,0.4401970310229822,2025-05-06 13:55:20.814977,2025-05-06 13:55:41.060386,0 days 00:00:20.245409,0.6271887029811671,0.17249848012383795,8,751,7.457974202898262,0.10996995849078212,0.9617519487960221,COMPLETE
7,0.4338554527636669,2025-05-06 13:55:41.061836,2025-05-06 13:55:55.502609,0 days 00:00:14.440773,0.6957330475665494,0.03645364906382144,7,333,0.0021549571713693158,7.419191381153881e-08,0.8269431605446078,COMPLETE
8,0.44960340343122,2025-05-06 13:55:55.503857,2025-05-06 13:56:19.042117,0 days 00:00:23.538260,0.6667431422844139,0.007519625039574056,7,407,3.4237546505929097e-07,0.02423698705700188,0.714346202205797,COMPLETE
9,0.46525048143454795,2025-05-06 13:56:19.043304,2025-05-06 13:56:52.206849,0 days 00:00:33.163545,0.9924959755328102,0.0029965557714398228,6,803,2.668554727689802e-07,1.4570603225370484e-06,0.8944348253996217,COMPLETE
10,0.5984512987734043,2025-05-06 13:56:52.208661,2025-05-06 13:58:37.177631,0 days 00:01:44.968970,0.831979419613363,0.0012473276426983298,10,539,6.116256476628582e-05,3.0245651992782525e-08,0.5504181661907999,COMPLETE
11,0.4342632510698441,2025-05-06 13:58:37.178962,2025-05-06 13:59:17.227026,0 days 00:00:40.048064,0.8386363703042208,0.025874987938288328,9,314,0.0001962509036737106,6.717954037795127e-07,0.7907474948659875,COMPLETE
12,0.4341770040175866,2025-05-06 13:59:17.232193,2025-05-06 13:59:53.469081,0 days 00:00:36.236888,0.8465849128632176,0.02973260324999013,9,282,0.00033259669567833953,5.186324032143158e-07,0.7681316010202094,COMPLETE
13,0.44105929326994425,2025-05-06 13:59:53.470401,2025-05-06 14:00:40.232130,0 days 00:00:46.761729,0.8650647797561426,0.04215958583567977,12,146,0.0057614454454757045,6.782868674711226e-05,0.656745764871508,COMPLETE
14,0.4347152460370112,2025-05-06 14:00:40.233891,2025-05-06 14:01:12.288063,0 days 00:00:32.054172,0.5702068681135906,0.018810132303317822,9,330,1.5498340716358843e-05,1.0224310210915887e-07,0.6139710534267115,COMPLETE
15,0.4427540043649406,2025-05-06 14:01:12.292152,2025-05-06 14:02:12.202739,0 days 00:00:59.910587,0.7181881931411782,0.06531589831972962,9,581,0.0016058573053380754,1.4867353583849325e-05,0.7608700348594961,COMPLETE
16,0.43931923821549745,2025-05-06 14:02:12.204110,2025-05-06 14:02:23.126885,0 days 00:00:10.922775,0.631387799665303,0.08028633409229802,5,528,0.08594231841275324,2.9782799788563886e-07,0.819559571136688,COMPLETE
